"dracor-id","author","author-wikidata-id","sex-or-gender","librettist","librettist-id","sex-or-gender-2","composer","composer-id","sex-or-gender-3","title","subtitle","work-wikidata-id","year-normalized","genre","source-url"
ger000077,"Droste-Hülshoff, Annette von",Q57307,female,,,,,,,"Perdu! oder Dichter, Verleger und Blaustrümpfe",Lustspiel in einem Akte,Q52893824,1840,comedy,http://www.textgridrep.org/textgrid:mjbp.0
ger000092,"Birch-Pfeiffer, Charlotte",Q68117,female,,,,,,,Vatersorgen,Komisches Zeitgemälde in drei Akten,Q52743300,1849,comedy,http://www.textgridrep.org/textgrid:kmdt.0
ger000125,"Günderrode, Karoline von",Q62053,female,,,,,,,Nikator,Eine dramatische Skizze in drei Akten,Q56254778,1805,,http://www.textgridrep.org/textgrid:pb6v.0
ger000151,"Birch-Pfeiffer, Charlotte",Q68117,female,,,,,,,Die Walpurgisnacht,Dramatisches Volksmärchen in vier Acten,Q52886267,1830,,http://www.textgridrep.org/textgrid:kmdk.0
ger000169,,,,"Wette, Adelheid",Q354730,female,"Humperdinck, Engelbert",Q55010,male,Hänsel und Gretel,Märchenspiel in drei Bildern,Q1099668,1893,,http://www.textgridrep.org/textgrid:x82c.0
ger000213,"Weißenthurn, Johanna von",Q1696932,female,,,,,,,Die Schwestern St. Janvier,Schauspiel in fünf Aufzügen,Q51433501,1821,,http://www.textgridrep.org/textgrid:x4vx.0
ger000247,"Birch-Pfeiffer, Charlotte",Q68117,female,,,,,,,Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297,Schauspiel in fünf Aufzügen,Q52886335,1829,,http://www.textgridrep.org/textgrid:kmdw.0
ger000268,"Birch-Pfeiffer, Charlotte",Q68117,female,,,,,,,In der Heimath,Original-Schauspiel in fünf Acten,Q52886301,1865,,http://www.textgridrep.org/textgrid:kmdh.0
ger000293,"Günderrode, Karoline von",Q62053,female,,,,,,,Udohla,Drama in zwei Akten,Q56254774,1805,,http://www.textgridrep.org/textgrid:pb0f.0
ger000340,"Weißenthurn, Johanna von",Q1696932,female,,,,,,,Das Manuscript,Lustspiel in fünf Aufzügen,Q51433398,1817,comedy,http://www.textgridrep.org/textgrid:x4vf.0
ger000394,"Weißenthurn, Johanna von",Q1696932,female,,,,,,,Welche ist die Braut!,Ein Lustspiel in fünf Aufzügen,Q51433812,1813,comedy,http://www.textgridrep.org/textgrid:x4vh.0
ger000411,"Birch-Pfeiffer, Charlotte",Q68117,female,,,,,,,Johannes Gutenberg,Original-Schauspiel in drei Abtheilungen,Q52087355,1835,,http://www.textgridrep.org/textgrid:kmdp.0
ger000433,,,,"Chézy, Helmina von",Q67815,female,"Weber, Carl Maria von",Q154812,male,Euryanthe,Romantische Oper in drei Aufzügen,Q707737,1823,,http://www.textgridrep.org/textgrid:kw8v.0
