Source,Target,Weight,Type
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Gräfin Nordheim,6,undirected
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Gräfin von Thal,82,undirected
F_Das Waldfräulein_Claudine,F_Das Waldfräulein_Melanie,162,undirected
F_Das Waldfräulein_Claudine,F_Die Selbstsüchtigen_Emma,7,undirected
F_Das Waldfräulein_Claudine,F_Ohne Liebe_Elise,41,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Hector Berg,8,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Lazáry,18,undirected
F_Das Waldfräulein_Claudine,M_Das Waldfräulein_Graf Turnau,31,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Das Waldfräulein_Claudine,6,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Das Waldfräulein_Gräfin von Thal,97,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Die Selbstsüchtigen_Gräfin Mathilde,35,undirected
F_Das Waldfräulein_Gräfin Nordheim,F_Ohne Liebe_Gräfin Laßwitz,2,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Fürst Limburg,21,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Kurt,20,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Paul,4,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Das Waldfräulein_Robert,1,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Die Selbstsüchtigen_Graf Steinberg,27,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Männertreue_Domenico Maripetro,1,undirected
F_Das Waldfräulein_Gräfin Nordheim,M_Ohne Liebe_Graf Marko Laßwitz,1,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Claudine,82,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Gräfin Nordheim,97,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Das Waldfräulein_Melanie,57,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Die Selbstsüchtigen_Gräfin Mathilde,4,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Die Veilchen_Baronin Auguste Wolf,1,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Emma,16,undirected
F_Das Waldfräulein_Gräfin von Thal,F_Ohne Liebe_Gräfin Laßwitz,13,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Graf Lazáry,2,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Paul,4,undirected
F_Das Waldfräulein_Gräfin von Thal,M_Das Waldfräulein_Robert,7,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Claudine,162,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Gräfin von Thal,57,undirected
F_Das Waldfräulein_Melanie,F_Das Waldfräulein_Sarah,6,undirected
F_Das Waldfräulein_Melanie,F_Ohne Liebe_Elise,3,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Fürst Limburg,93,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Hochburg,6,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Graf Turnau,2,undirected
F_Das Waldfräulein_Melanie,M_Das Waldfräulein_Robert,40,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Baron Rathhausen,1,undirected
F_Das Waldfräulein_Melanie,M_Die Veilchen_Graf Ahlfeld,1,undirected
F_Das Waldfräulein_Melanie,M_Männertreue_Girolamo Bembo,3,undirected
F_Das Waldfräulein_Melanie,M_Männertreue_Orso,1,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Melanie,6,undirected
F_Das Waldfräulein_Sarah,F_Das Waldfräulein_Therese,103,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Emma,70,undirected
F_Das Waldfräulein_Sarah,F_Die Selbstsüchtigen_Gräfin Mathilde,2,undirected
F_Das Waldfräulein_Sarah,F_Männertreue_Lucia,4,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hector Berg,1,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Graf Hochburg,8,undirected
F_Das Waldfräulein_Sarah,M_Das Waldfräulein_Paul,127,undirected
F_Das Waldfräulein_Sarah,M_Die Selbstsüchtigen_Gabriel,2,undirected
F_Das Waldfräulein_Sarah,M_Die Selbstsüchtigen_Graf Steinberg,1,undirected
F_Das Waldfräulein_Therese,F_Das Waldfräulein_Sarah,103,undirected
F_Das Waldfräulein_Therese,F_Die Selbstsüchtigen_Gräfin Mathilde,2,undirected
F_Das Waldfräulein_Therese,F_Männertreue_Lucia,1,undirected
F_Das Waldfräulein_Therese,F_Ohne Liebe_Gräfin Laßwitz,2,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Franz,6,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hector Berg,57,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Graf Hochburg,104,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Kurt,13,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Paul,117,undirected
F_Das Waldfräulein_Therese,M_Das Waldfräulein_Robert,21,undirected
F_Das Waldfräulein_Therese,M_Die Selbstsüchtigen_Gabriel,1,undirected
F_Das Waldfräulein_Therese,M_Die Veilchen_Graf Sigmund Andlau,1,undirected
F_Das Waldfräulein_Therese,M_Ohne Liebe_Graf Marko Laßwitz,1,undirected
F_Die Selbstsüchtigen_Emma,F_Das Waldfräulein_Claudine,7,undirected
F_Die Selbstsüchtigen_Emma,F_Das Waldfräulein_Sarah,70,undirected
F_Die Selbstsüchtigen_Emma,F_Die Selbstsüchtigen_Gräfin Mathilde,52,undirected
F_Die Selbstsüchtigen_Emma,F_Die Veilchen_Gräfin Franziska Andlau,35,undirected
F_Die Selbstsüchtigen_Emma,F_Ohne Liebe_Emma,1,undirected
F_Die Selbstsüchtigen_Emma,M_Das Waldfräulein_Paul,7,undirected
