Source,Target,Weight,Type
Das Waldfräulein_Claudine,Das Waldfräulein_Graf Hector Berg,8,undirected
Das Waldfräulein_Claudine,Das Waldfräulein_Graf Lazáry,5,undirected
Das Waldfräulein_Claudine,Das Waldfräulein_Graf Turnau,4,undirected
Das Waldfräulein_Claudine,Das Waldfräulein_Gräfin von Thal,27,undirected
Das Waldfräulein_Claudine,Das Waldfräulein_Melanie,42,undirected
Das Waldfräulein_Claudine,Die Selbstsüchtigen_Emma,7,undirected
Das Waldfräulein_Claudine,Ohne Liebe_Elise,1,undirected
Das Waldfräulein_Franz,Das Waldfräulein_Fürst Limburg,1,undirected
Das Waldfräulein_Franz,Das Waldfräulein_Graf Hector Berg,59,undirected
Das Waldfräulein_Franz,Das Waldfräulein_Graf Turnau,17,undirected
Das Waldfräulein_Franz,Das Waldfräulein_Kurt,17,undirected
Das Waldfräulein_Franz,Das Waldfräulein_Therese,6,undirected
Das Waldfräulein_Franz,Männertreue_Orso,12,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Franz,1,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Graf Hector Berg,1,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Graf Hochburg,1,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Graf Lazáry,9,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Kurt,23,undirected
Das Waldfräulein_Fürst Limburg,Das Waldfräulein_Melanie,14,undirected
Das Waldfräulein_Fürst Limburg,Die Selbstsüchtigen_Petermann,38,undirected
Das Waldfräulein_Fürst Limburg,Die Veilchen_Gräfin Julie Neuberg,22,undirected
Das Waldfräulein_Fürst Limburg,Männertreue_Orso,3,undirected
Das Waldfräulein_Fürst Limburg,Ohne Liebe_Elise,2,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Claudine,8,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Franz,59,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Fürst Limburg,1,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Graf Turnau,49,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Kurt,8,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Sarah,1,undirected
Das Waldfräulein_Graf Hector Berg,Das Waldfräulein_Therese,6,undirected
Das Waldfräulein_Graf Hector Berg,Die Selbstsüchtigen_Petermann,2,undirected
Das Waldfräulein_Graf Hector Berg,Die Veilchen_Gräfin Franziska Andlau,1,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Fürst Limburg,1,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Kurt,1,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Melanie,5,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Robert,56,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Sarah,8,undirected
Das Waldfräulein_Graf Hochburg,Das Waldfräulein_Therese,47,undirected
Das Waldfräulein_Graf Hochburg,Die Selbstsüchtigen_Gabriel,7,undirected
Das Waldfräulein_Graf Hochburg,Ohne Liebe_Emma,1,undirected
Das Waldfräulein_Graf Lazáry,Das Waldfräulein_Claudine,5,undirected
Das Waldfräulein_Graf Lazáry,Das Waldfräulein_Fürst Limburg,9,undirected
Das Waldfräulein_Graf Lazáry,Das Waldfräulein_Gräfin von Thal,2,undirected
Das Waldfräulein_Graf Lazáry,Das Waldfräulein_Paul,4,undirected
Das Waldfräulein_Graf Lazáry,Die Veilchen_Graf Ahlfeld,11,undirected
Das Waldfräulein_Graf Lazáry,Die Veilchen_Gräfin Julie Neuberg,1,undirected
Das Waldfräulein_Graf Lazáry,Die Veilchen_Gräfin Platen,22,undirected
Das Waldfräulein_Graf Lazáry,Ohne Liebe_Elise,20,undirected
Das Waldfräulein_Graf Lazáry,Ohne Liebe_Graf Rüdiger,2,undirected
Das Waldfräulein_Graf Turnau,Das Waldfräulein_Claudine,4,undirected
Das Waldfräulein_Graf Turnau,Das Waldfräulein_Franz,17,undirected
Das Waldfräulein_Graf Turnau,Das Waldfräulein_Graf Hector Berg,49,undirected
Das Waldfräulein_Graf Turnau,Das Waldfräulein_Kurt,22,undirected
Das Waldfräulein_Graf Turnau,Das Waldfräulein_Melanie,2,undirected
Das Waldfräulein_Graf Turnau,Die Veilchen_Baron Rathhausen,3,undirected
Das Waldfräulein_Graf Turnau,Die Veilchen_Gräfin Julie Neuberg,2,undirected
Das Waldfräulein_Graf Turnau,Ohne Liebe_Elise,1,undirected
Das Waldfräulein_Graf Turnau,Ohne Liebe_Gräfin Laßwitz,1,undirected
Das Waldfräulein_Gräfin Nordheim,Das Waldfräulein_Gräfin von Thal,12,undirected
Das Waldfräulein_Gräfin Nordheim,Das Waldfräulein_Paul,4,undirected
